Côte de Blaye,263.50,1
Ipoh Coffee,46.00,1
Sirop d'érable,28.50,2
Vegie-spread,43.90,2
Grandma's Boysenberry Spread,25.00,2
Northwoods Cranberry Sauce,40.00,2
Sir Rodney's Marmalade,81.00,3
Gumbär Gummibärchen,31.23,3
Schoggi Schokolade,43.90,3
Tarte au sucre,49.30,3
Gudbrandsdalsost,36.00,4
Raclette Courdavault,55.00,4
Camembert Pierrot,34.00,4
Mozzarella di Giovanni,34.80,4
Mascarpone Fabioli,32.00,4
Queso Manchego La Pastora,38.00,4
Gustaf's Knäckebröd,21.00,5
Wimmers gute Semmelknödel,33.25,5
Gnocchi di nonna Alice,38.00,5
Mishi Kobe Niku,97.00,6
Thüringer Rostbratwurst,123.79,6
Rössle Sauerkraut,45.60,7
Manjimup Dried Apples,53.00,7
Ikura,31.00,8
Carnarvon Tigers,62.50,8
Nord-Ost Matjeshering,25.89,8
Gravad lax,26.00,8
